image_path,bloom_stage,stage,plant_id,timestamp,ndvi_file,aoi,season,is_synthetic,synthesis_seed,climate_params
bud/bud_stage2_0000.png,bud,train,stage2_plant_0_000,2024-07-02,synthetic_ndvi_000.npy,california_central_valley,summer,True,0,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0001.png,bud,train,stage2_plant_0_000,2023-10-28,synthetic_ndvi_001.npy,iowa_corn_belt,autumn,True,1,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0002.png,bud,train,stage2_plant_0_000,2023-02-03,synthetic_ndvi_002.npy,amazon_basin,winter,True,2,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0003.png,bud,train,stage2_plant_0_000,2023-10-18,synthetic_ndvi_003.npy,great_plains,autumn,True,3,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0004.png,bud,train,stage2_plant_0_000,2023-05-04,synthetic_ndvi_004.npy,southeast_us,spring,True,4,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0005.png,bud,train,stage2_plant_0_000,2024-12-12,synthetic_ndvi_005.npy,california_central_valley,winter,True,5,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0006.png,bud,train,stage2_plant_0_000,2023-08-25,synthetic_ndvi_006.npy,iowa_corn_belt,summer,True,6,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0007.png,bud,train,stage2_plant_0_000,2024-03-13,synthetic_ndvi_007.npy,amazon_basin,spring,True,7,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0008.png,bud,train,stage2_plant_0_000,2023-06-13,synthetic_ndvi_008.npy,great_plains,summer,True,8,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0009.png,bud,train,stage2_plant_0_000,2024-10-12,synthetic_ndvi_009.npy,southeast_us,autumn,True,9,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0010.png,bud,train,stage2_plant_0_000,2023-07-16,synthetic_ndvi_000.npy,california_central_valley,summer,True,10,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0011.png,bud,train,stage2_plant_0_000,2024-09-28,synthetic_ndvi_001.npy,iowa_corn_belt,autumn,True,11,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0012.png,bud,train,stage2_plant_0_000,2024-05-22,synthetic_ndvi_002.npy,amazon_basin,spring,True,12,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0013.png,bud,train,stage2_plant_0_000,2024-05-22,synthetic_ndvi_003.npy,great_plains,spring,True,13,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0014.png,bud,train,stage2_plant_0_000,2023-10-23,synthetic_ndvi_004.npy,southeast_us,autumn,True,14,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0015.png,bud,train,stage2_plant_0_000,2023-01-17,synthetic_ndvi_005.npy,california_central_valley,winter,True,15,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0016.png,bud,train,stage2_plant_0_000,2024-08-16,synthetic_ndvi_006.npy,iowa_corn_belt,summer,True,16,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0017.png,bud,train,stage2_plant_0_000,2024-05-12,synthetic_ndvi_007.npy,amazon_basin,spring,True,17,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0018.png,bud,train,stage2_plant_0_000,2023-02-22,synthetic_ndvi_008.npy,great_plains,winter,True,18,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0019.png,bud,train,stage2_plant_0_000,2023-09-04,synthetic_ndvi_009.npy,southeast_us,autumn,True,19,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0020.png,bud,train,stage2_plant_0_000,2023-05-22,synthetic_ndvi_000.npy,california_central_valley,spring,True,20,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0021.png,bud,train,stage2_plant_0_000,2023-07-23,synthetic_ndvi_001.npy,iowa_corn_belt,summer,True,21,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0022.png,bud,train,stage2_plant_0_000,2023-04-01,synthetic_ndvi_002.npy,amazon_basin,spring,True,22,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0023.png,bud,train,stage2_plant_0_000,2024-02-01,synthetic_ndvi_003.npy,great_plains,winter,True,23,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0024.png,bud,train,stage2_plant_0_000,2024-10-06,synthetic_ndvi_004.npy,southeast_us,autumn,True,24,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0025.png,bud,train,stage2_plant_0_000,2024-01-07,synthetic_ndvi_005.npy,california_central_valley,winter,True,25,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0026.png,bud,train,stage2_plant_0_000,2023-11-07,synthetic_ndvi_006.npy,iowa_corn_belt,autumn,True,26,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0027.png,bud,train,stage2_plant_0_000,2024-12-09,synthetic_ndvi_007.npy,amazon_basin,winter,True,27,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0028.png,bud,train,stage2_plant_0_000,2023-12-05,synthetic_ndvi_008.npy,great_plains,winter,True,28,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0029.png,bud,train,stage2_plant_0_000,2023-06-20,synthetic_ndvi_009.npy,southeast_us,summer,True,29,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0030.png,bud,train,stage2_plant_0_000,2024-10-01,synthetic_ndvi_000.npy,california_central_valley,autumn,True,30,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0031.png,bud,train,stage2_plant_0_000,2023-08-04,synthetic_ndvi_001.npy,iowa_corn_belt,summer,True,31,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0032.png,bud,train,stage2_plant_0_000,2023-04-05,synthetic_ndvi_002.npy,amazon_basin,spring,True,32,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0033.png,bud,train,stage2_plant_0_000,2023-11-08,synthetic_ndvi_003.npy,great_plains,autumn,True,33,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0034.png,bud,train,stage2_plant_0_000,2024-10-01,synthetic_ndvi_004.npy,southeast_us,autumn,True,34,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0035.png,bud,train,stage2_plant_0_000,2024-03-24,synthetic_ndvi_005.npy,california_central_valley,spring,True,35,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0036.png,bud,train,stage2_plant_0_000,2024-01-01,synthetic_ndvi_006.npy,iowa_corn_belt,winter,True,36,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0037.png,bud,train,stage2_plant_0_000,2023-10-22,synthetic_ndvi_007.npy,amazon_basin,autumn,True,37,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0038.png,bud,train,stage2_plant_0_000,2024-07-25,synthetic_ndvi_008.npy,great_plains,summer,True,38,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0039.png,bud,train,stage2_plant_0_000,2023-05-13,synthetic_ndvi_009.npy,southeast_us,spring,True,39,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0040.png,bud,train,stage2_plant_0_000,2024-10-17,synthetic_ndvi_000.npy,california_central_valley,autumn,True,40,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0041.png,bud,train,stage2_plant_0_000,2024-06-08,synthetic_ndvi_001.npy,iowa_corn_belt,summer,True,41,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0042.png,bud,train,stage2_plant_0_000,2023-01-24,synthetic_ndvi_002.npy,amazon_basin,winter,True,42,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0043.png,bud,train,stage2_plant_0_000,2023-05-23,synthetic_ndvi_003.npy,great_plains,spring,True,43,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0044.png,bud,train,stage2_plant_0_000,2024-09-18,synthetic_ndvi_004.npy,southeast_us,autumn,True,44,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0045.png,bud,train,stage2_plant_0_000,2024-07-16,synthetic_ndvi_005.npy,california_central_valley,summer,True,45,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0046.png,bud,train,stage2_plant_0_000,2023-07-02,synthetic_ndvi_006.npy,iowa_corn_belt,summer,True,46,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0047.png,bud,train,stage2_plant_0_000,2024-02-14,synthetic_ndvi_007.npy,amazon_basin,winter,True,47,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0048.png,bud,train,stage2_plant_0_000,2024-03-18,synthetic_ndvi_008.npy,great_plains,spring,True,48,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0049.png,bud,train,stage2_plant_0_000,2023-06-14,synthetic_ndvi_009.npy,southeast_us,summer,True,49,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0050.png,bud,train,stage2_plant_0_000,2024-05-12,synthetic_ndvi_000.npy,california_central_valley,spring,True,50,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0051.png,bud,train,stage2_plant_0_000,2023-09-18,synthetic_ndvi_001.npy,iowa_corn_belt,autumn,True,51,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0052.png,bud,train,stage2_plant_0_000,2024-01-24,synthetic_ndvi_002.npy,amazon_basin,winter,True,52,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
bud/bud_stage2_0053.png,bud,train,stage2_plant_0_000,2023-08-17,synthetic_ndvi_003.npy,great_plains,summer,True,53,"{'base_size': 0.8, 'color_saturation': 0.7, 'growth_rate': 0.8}"
bud/bud_stage2_0054.png,bud,train,stage2_plant_0_000,2023-08-18,synthetic_ndvi_004.npy,southeast_us,summer,True,54,"{'base_size': 1.1, 'color_saturation': 1.1, 'growth_rate': 1.2}"
bud/bud_stage2_0055.png,bud,train,stage2_plant_0_000,2023-04-05,synthetic_ndvi_005.npy,california_central_valley,spring,True,55,"{'base_size': 1.0, 'color_saturation': 0.8, 'growth_rate': 1.0}"
bud/bud_stage2_0056.png,bud,train,stage2_plant_0_000,2023-08-21,synthetic_ndvi_006.npy,iowa_corn_belt,summer,True,56,"{'base_size': 1.2, 'color_saturation': 1.0, 'growth_rate': 1.1}"
bud/bud_stage2_0057.png,bud,train,stage2_plant_0_000,2023-06-19,synthetic_ndvi_007.npy,amazon_basin,summer,True,57,"{'base_size': 1.5, 'color_saturation': 1.2, 'growth_rate': 1.3}"
