image_path,bloom_stage,stage,plant_id,timestamp,ndvi_file,is_synthetic,synthesis_seed
bud/bud_stage1_0000.png,bud,train,stage1_plant_0_000,2023-01-03,synthetic_ndvi_000.npy,True,0
bud/bud_stage1_0001.png,bud,train,stage1_plant_0_000,2023-02-11,synthetic_ndvi_001.npy,True,1
bud/bud_stage1_0002.png,bud,train,stage1_plant_0_000,2023-07-14,synthetic_ndvi_002.npy,True,2
bud/bud_stage1_0003.png,bud,train,stage1_plant_0_000,2023-08-07,synthetic_ndvi_003.npy,True,3
bud/bud_stage1_0004.png,bud,train,stage1_plant_0_000,2023-11-26,synthetic_ndvi_004.npy,True,4
bud/bud_stage1_0005.png,bud,train,stage1_plant_0_000,2023-07-10,synthetic_ndvi_005.npy,True,5
bud/bud_stage1_0006.png,bud,train,stage1_plant_0_000,2023-11-12,synthetic_ndvi_006.npy,True,6
bud/bud_stage1_0007.png,bud,train,stage1_plant_0_000,2023-10-19,synthetic_ndvi_007.npy,True,7
bud/bud_stage1_0008.png,bud,train,stage1_plant_0_000,2023-11-17,synthetic_ndvi_008.npy,True,8
bud/bud_stage1_0009.png,bud,train,stage1_plant_0_000,2023-04-24,synthetic_ndvi_009.npy,True,9
bud/bud_stage1_0010.png,bud,train,stage1_plant_0_000,2023-05-18,synthetic_ndvi_000.npy,True,10
bud/bud_stage1_0011.png,bud,train,stage1_plant_0_000,2023-08-21,synthetic_ndvi_001.npy,True,11
bud/bud_stage1_0012.png,bud,train,stage1_plant_0_000,2023-08-20,synthetic_ndvi_002.npy,True,12
bud/bud_stage1_0013.png,bud,train,stage1_plant_0_000,2023-09-06,synthetic_ndvi_003.npy,True,13
bud/bud_stage1_0014.png,bud,train,stage1_plant_0_000,2023-05-17,synthetic_ndvi_004.npy,True,14
bud/bud_stage1_0015.png,bud,train,stage1_plant_0_000,2023-01-07,synthetic_ndvi_005.npy,True,15
bud/bud_stage1_0016.png,bud,train,stage1_plant_0_000,2023-11-06,synthetic_ndvi_006.npy,True,16
bud/bud_stage1_0017.png,bud,train,stage1_plant_0_000,2023-12-21,synthetic_ndvi_007.npy,True,17
bud/bud_stage1_0018.png,bud,train,stage1_plant_0_000,2023-03-07,synthetic_ndvi_008.npy,True,18
bud/bud_stage1_0019.png,bud,train,stage1_plant_0_000,2023-09-19,synthetic_ndvi_009.npy,True,19
bud/bud_stage1_0020.png,bud,train,stage1_plant_0_000,2023-10-08,synthetic_ndvi_000.npy,True,20
bud/bud_stage1_0021.png,bud,train,stage1_plant_0_000,2023-11-25,synthetic_ndvi_001.npy,True,21
bud/bud_stage1_0022.png,bud,train,stage1_plant_0_000,2023-02-19,synthetic_ndvi_002.npy,True,22
bud/bud_stage1_0023.png,bud,train,stage1_plant_0_000,2023-01-07,synthetic_ndvi_003.npy,True,23
bud/bud_stage1_0024.png,bud,train,stage1_plant_0_000,2023-05-09,synthetic_ndvi_004.npy,True,24
bud/bud_stage1_0025.png,bud,train,stage1_plant_0_000,2023-11-04,synthetic_ndvi_005.npy,True,25
bud/bud_stage1_0026.png,bud,train,stage1_plant_0_000,2023-02-05,synthetic_ndvi_006.npy,True,26
bud/bud_stage1_0027.png,bud,train,stage1_plant_0_000,2023-03-12,synthetic_ndvi_007.npy,True,27
bud/bud_stage1_0028.png,bud,train,stage1_plant_0_000,2023-05-20,synthetic_ndvi_008.npy,True,28
bud/bud_stage1_0029.png,bud,train,stage1_plant_0_000,2023-04-27,synthetic_ndvi_009.npy,True,29
bud/bud_stage1_0030.png,bud,train,stage1_plant_0_000,2023-09-10,synthetic_ndvi_000.npy,True,30
bud/bud_stage1_0031.png,bud,train,stage1_plant_0_000,2023-02-01,synthetic_ndvi_001.npy,True,31
bud/bud_stage1_0032.png,bud,train,stage1_plant_0_000,2023-02-02,synthetic_ndvi_002.npy,True,32
bud/bud_stage1_0033.png,bud,train,stage1_plant_0_000,2023-01-12,synthetic_ndvi_003.npy,True,33
bud/bud_stage1_0034.png,bud,train,stage1_plant_0_000,2023-11-27,synthetic_ndvi_004.npy,True,34
bud/bud_stage1_0035.png,bud,train,stage1_plant_0_000,2023-03-11,synthetic_ndvi_005.npy,True,35
bud/bud_stage1_0036.png,bud,train,stage1_plant_0_000,2023-07-08,synthetic_ndvi_006.npy,True,36
bud/bud_stage1_0037.png,bud,train,stage1_plant_0_000,2023-12-14,synthetic_ndvi_007.npy,True,37
bud/bud_stage1_0038.png,bud,train,stage1_plant_0_000,2023-07-10,synthetic_ndvi_008.npy,True,38
bud/bud_stage1_0039.png,bud,train,stage1_plant_0_000,2023-11-13,synthetic_ndvi_009.npy,True,39
bud/bud_stage1_0040.png,bud,train,stage1_plant_0_000,2023-03-19,synthetic_ndvi_000.npy,True,40
bud/bud_stage1_0041.png,bud,train,stage1_plant_0_000,2023-12-12,synthetic_ndvi_001.npy,True,41
bud/bud_stage1_0042.png,bud,train,stage1_plant_0_000,2023-04-15,synthetic_ndvi_002.npy,True,42
